"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R47,R44,R28,R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"470";;;
2;"D14";"LED_D4.0mm";1;"LED";;;
3;"D13,D12,D11,D10,D2,D6,D1,D4,D5,D7";"D_DO-35_SOD27_P7.62mm_Horizontal";10;"1N4148";;;
4;"Q16,Q10,Q5,Q25,Q2";"TO-92L_Inline_Wide";5;"KSC1845";;;
5;"Q1,Q17,Q4,Q7,Q8,Q6,Q3,Q24,Q9";"TO-92L_Inline_Wide";9;"KSA992";;;
6;"R30,R41,R40,R29,R34,R33";"R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal";6;"0R22";;;
7;"D3,D8,D9";"D_DO-41_SOD81_P10.16mm_Horizontal";3;"1N4007";;;
8;"C16,C12,C13,C5,C6";"C_Rect_L7.0mm_W2.0mm_P5.00mm";5;"100n";;;
9;"R46,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"33k";;;
10;"R45,R12,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
11;"C15";"C_Rect_L7.0mm_W2.0mm_P5.00mm";1;"10n";;;
12;"R9,R43,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"22k";;;
13;"C14,C11";"C_Rect_L7.0mm_W2.0mm_P5.00mm";2;"22n";;;
14;"C10";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"100p";;;
15;"C2,C3";"CP_Radial_D10.0mm_P5.00mm";2;"100u";;;
16;"R14,R39,R2,R17,R16,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"1k";;;
17;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"IN";;;
18;"J2,J5,J4,J3";"6.3mm spade";4;"~";;;
19;"Q13";"TO-220-3_Vertical";1;"2SA1837";;;
20;"RL1";"Relay_DPDT_Panasonic_JW2";1;"JW2";;;
21;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Safety Bus";;;
22;"R22,R7,R5,R6,R23,R24,R15,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"220";;;
23;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470k";;;
24;"C9";"C_Radial_D8.0mm_H11.5mm_P3.50mm";1;"47u";;;
25;"C17,C7";"CP_Radial_D6.3mm_P2.50mm";2;"100u";;;
26;"R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k2";;;
27;"R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"15k";;;
28;"R21,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"56k";;;
29;"U1";"SIP-8_19x3mm_P2.54mm";1;"~";;;
30;"RV1";"Potentiometer_Runtron_RM-063_Horizontal";1;"200";;;
31;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"22";;;
32;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10";;;
33;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"ON";;;
34;"R42";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"10";;;
35;"Q11";"TO-220-3_Vertical";1;"2SC4793";;;
36;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4k7";;;
37;"C8";"CP_Radial_D6.3mm_P2.50mm";1;"47u";;;
38;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"4u7";;;
39;"S1";"10mm Snubber";1;"1uH+10R";;;
40;"C4";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"220p";;;
41;"Q22,Q20,Q18";"TO-264-3_Horizontal_TabUp";3;"2SC5200";;;
42;"R32,R25,R26,R31,R36,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"2R2";;;
43;"Q14";"TO-220-3_Horizontal_TabUp";1;"MJE15033";;;
44;"Q19,Q21,Q23";"TO-264-3_Horizontal_TabUp";3;"2SA1943";;;
45;"Q12";"TO-126-3_Horizontal_TabUp";1;"2SC2911";;;
46;"Q15";"TO-220-3_Horizontal_TabUp";1;"MJE15032";;;
